epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.878,1.84752,4.14783,1.79879,0.00481,0.19762,0.0084,0.00362,1.62968,4.0915,1.82968,2.222e-05,2.222e-05,2.222e-05
2,276.679,1.7569,3.60117,1.75556,0.06382,0.09841,0.04617,0.02991,1.39557,3.16746,1.48138,5.46334e-05,5.46334e-05,5.46334e-05
3,392.1,1.55824,3.06254,1.64343,0.3312,0.20476,0.11959,0.08733,1.35848,2.83602,1.4351,8.5947e-05,8.5947e-05,8.5947e-05
4,507.968,1.51009,2.34663,1.5359,0.23043,0.30934,0.19211,0.11987,1.3569,4.52701,1.40908,0.000116161,0.000116161,0.000116161
5,626.887,1.50476,2.02232,1.52141,0.63735,0.24753,0.25372,0.15546,1.24595,4.23598,1.29936,0.000145274,0.000145274,0.000145274
6,740.839,1.42521,1.83713,1.41036,0.64864,0.2381,0.28722,0.18778,1.17681,3.25,1.23538,0.000173288,0.000173288,0.000173288
7,857.693,1.42121,1.62806,1.37838,0.61289,0.37573,0.39817,0.26181,1.16566,2.76672,1.23144,0.000200202,0.000200202,0.000200202
8,974.107,1.33527,1.66639,1.37647,0.64841,0.35812,0.36121,0.25892,1.14588,2.72884,1.21841,0.000226016,0.000226016,0.000226016
9,1087.07,1.3156,1.58908,1.34926,0.84125,0.30199,0.34309,0.2425,1.14241,1.98629,1.2039,0.00025073,0.00025073,0.00025073
10,1200.44,1.3433,1.57358,1.36394,0.53582,0.39922,0.42444,0.29917,1.14449,1.64894,1.18632,0.000274345,0.000274345,0.000274345
11,1315.45,1.27521,1.5391,1.32535,0.72776,0.64866,0.7112,0.509,1.12587,1.56054,1.18027,0.000296859,0.000296859,0.000296859
12,1431.28,1.21187,1.36626,1.26393,0.68881,0.66595,0.72551,0.52564,1.13196,1.51478,1.17694,0.000318274,0.000318274,0.000318274
13,1545.92,1.30791,1.41886,1.33674,0.70335,0.60894,0.69321,0.49015,1.23426,1.71665,1.2407,0.000338588,0.000338588,0.000338588
